full_id,osm_id,osm_type,aeroway,name,xcoord,ycoord
n43024893,"43024893",node,,,4.9274954,51.5589369
n43413141,"43413141",node,,,5.6745224,51.6599817
n46062950,"46062950",node,,,4.7721531,52.2958858
n46063764,"46063764",node,,,4.7722618,52.2957756
n46087018,"46087018",node,,,4.7507603,52.3008936
n46106329,"46106329",node,,,4.8053352,52.3056242
n48214813,"48214813",node,,,5.7763165,53.2178152
n48215253,"48215253",node,,,5.7515662,53.217868
n364782682,"364782682",node,,,4.3646653,51.4542603
n472659581,"472659581",node,,,6.570284,53.1182025
n480704708,"480704708",node,,,5.7640898,50.9030769
n480908784,"480908784",node,,,5.75701,50.9012684
n480911947,"480911947",node,,,5.7604608,50.899827
n621710811,"621710811",node,,main entrance,4.7619986,52.3092181
n756950936,"756950936",node,,,5.8605183,52.0504876
n799545438,"799545438",node,,,6.5823506,53.132159
n849078218,"849078218",node,,,4.3480203,51.4300949
n849078227,"849078227",node,,,4.3482979,51.4301532
n940122902,"940122902",node,,,5.7586874,50.9043683
n1116691807,"1116691807",node,,,4.7412668,52.2934962
n1123200688,"1123200688",node,,,4.7338901,52.2979737
n1123394288,"1123394288",node,,,4.756459,52.3098139
n1129495570,"1129495570",node,,,4.7309286,52.3218026
n1130827044,"1130827044",node,,main entrance,4.7621735,52.3091344
n1133608702,"1133608702",node,,,4.7345071,52.2980233
n1166656399,"1166656399",node,aerodrome,Vliegveld Haamstede,3.7151631,51.7072042
n1213225171,"1213225171",node,aerodrome,Vliegveld Nistelrode,5.548863,51.6832098
n1346675195,"1346675195",node,,,5.885663,52.0421748
n1349661906,"1349661906",node,,,5.7223579,51.6569661
n1398646481,"1398646481",node,,,5.6930757,51.6473268
n1654633151,"1654633151",node,aerodrome,Zweefvliegclub Flevo,5.6743789,52.4296693
n1664145361,"1664145361",node,,,4.7531279,52.3090409
n1716009144,"1716009144",node,aerodrome,Zweefvliegveld Axel,3.8910079,51.2554307
n1780408934,"1780408934",node,,,6.5727763,53.1144491
n1790150918,"1790150918",node,,,-63.1170555,18.0419693
n1790150927,"1790150927",node,,,-63.1137198,18.0444523
n1790150945,"1790150945",node,,,-63.1140771,18.0443299
n1813085449,"1813085449",node,,,4.7588745,52.2926339
n1815120221,"1815120221",node,,,4.7488643,52.2984593
n1888069868,"1888069868",node,,,4.7406259,52.2944405
n2001490214,"2001490214",node,,,4.8052987,52.3057629
n2055739968,"2055739968",node,,,4.3364327,51.4368987
n2069770551,"2069770551",node,,,4.8053471,52.3055781
n2069770554,"2069770554",node,,,4.8052783,52.305841
n2157570803,"2157570803",node,,,4.7494824,52.3021885
n2392777191,"2392777191",node,,,5.6874481,51.6486773
n2395547352,"2395547352",node,,,5.7148004,51.6510354
n2739757299,"2739757299",node,,,4.762625,52.3089202
n2739757387,"2739757387",node,,,4.7612969,52.309559
n2739757445,"2739757445",node,,,4.7594299,52.3099537
n2812253886,"2812253886",node,aerodrome,Eerste Zaanse Zweefvlieg Club,4.6268015,52.5387469
n3030968448,"3030968448",node,,,-68.9506405,12.1840335
n3579318233,"3579318233",node,,,5.8611286,52.0548186
n3617524251,"3617524251",node,,,-68.2703018,12.1335951
n3781927265,"3781927265",node,,Hek 70,4.7520491,52.3130063
n3844277833,"3844277833",node,,,-63.1127269,18.0446256
n3844285278,"3844285278",node,,,-63.102059,18.0426739
n3844288249,"3844288249",node,,,-63.0977996,18.0413206
n3924160836,"3924160836",node,,,-63.1124448,18.0444768
n4350045188,"4350045188",node,,,5.8745935,51.5252733
n4427962236,"4427962236",node,aerodrome,Vliegveld Middenmeer,5.0212185,52.8150651
n4432535110,"4432535110",node,aerodrome,Breda International Airport,4.5473474,51.5545457
n4583121020,"4583121020",node,,,-68.9569235,12.1846474
n4657372181,"4657372181",node,,,4.8066917,52.3077259
n5062608824,"5062608824",node,,,5.7050687,51.6679124
n5247378971,"5247378971",node,,,6.9004491,52.2782121
n5548271818,"5548271818",node,,,5.2624998,52.1328235
n5548294968,"5548294968",node,,,5.2705593,52.1296671
n5556053220,"5556053220",node,,,5.2586769,52.1390692
n5652157598,"5652157598",node,,,4.7976512,52.3020219
n5837839118,"5837839118",node,,,-68.9541634,12.1837257
n5837839120,"5837839120",node,,,-68.9636958,12.1855604
n5876277787,"5876277787",node,,,4.912592,51.5620262
n5876277788,"5876277788",node,,,4.9512553,51.5630672
n5954446970,"5954446970",node,aerodrome,Zweefvliegcentrum Noordkop,5.0110006,52.8988664
n6055138036,"6055138036",node,,,4.3565702,51.4468066
n6269251923,"6269251923",node,,,5.6753217,51.6554015
n6269251924,"6269251924",node,,,5.6753231,51.655344
n6329764786,"6329764786",node,,,5.7389795,53.2309933
n6482700136,"6482700136",node,,,5.7375477,53.2167318
n6765221714,"6765221714",node,,,4.3553053,51.4317594
n6967019554,"6967019554",node,,,-68.2787991,12.1333838
n6970170583,"6970170583",node,,,-62.9798461,17.4940784
n6970183189,"6970183189",node,,,-62.980576,17.4935164
n7029449089,"7029449089",node,,,6.565378,53.1151542
n7029449093,"7029449093",node,,,6.557963,53.1117028
n7029449094,"7029449094",node,,,6.5557793,53.110114
n7029449355,"7029449355",node,,,6.5839602,53.1337075
n7245498982,"7245498982",node,,,4.7714019,52.295828
n7367468996,"7367468996",node,,,5.7613571,53.2367662
n7747859083,"7747859083",node,,,5.8814805,52.0699102
n8072967988,"8072967988",node,,,5.9172621,52.6864718
n8145972239,"8145972239",node,,,5.9033296,52.6835243
n8264147589,"8264147589",node,,,5.4984697,52.446987
n8315200446,"8315200446",node,,,4.8052759,52.3058504
n8315200447,"8315200447",node,,,4.8052873,52.3058069
n8315200448,"8315200448",node,,,4.8053115,52.3057146
n8442698535,"8442698535",node,,,5.7733986,53.2217528
n8442698938,"8442698938",node,,,5.7767036,53.2214724
n8443242165,"8443242165",node,,,5.7729606,53.2304665
n8443698650,"8443698650",node,,,5.7473141,53.2320515
n8450441981,"8450441981",node,,,5.7763827,53.2201639
n8450483978,"8450483978",node,,,5.7767698,53.2176849
n8455261747,"8455261747",node,,,5.7514791,53.2178714
n8455261759,"8455261759",node,,,5.766947,53.2158544
n8761664972,"8761664972",node,,,5.8735266,52.0480765
n9724634204,"9724634204",node,,,5.8838059,52.0420554
n9885732928,"9885732928",node,,,4.3488807,51.4302782
n9885732932,"9885732932",node,,,4.3359987,51.4376126
n9885732936,"9885732936",node,,,4.3441443,51.4292725
n9885732941,"9885732941",node,,,4.3555789,51.431812
n10908933305,"10908933305",node,,,7.0414245,53.2077606
n10908978025,"10908978025",node,,,7.0398491,53.2076563
